text,person,fiction_or_not
"In 2000, West began producing for artists on Roc-A-Fella Records as an in-house producer. West is often credited with revitalizing Jay-Z's career with extensive contributions to his 2001 album The Blueprint,[35] which Rolling Stone ranked among their list of greatest hip-hop albums.[36] West produced songs for label cohorts such as Beanie Sigel and Freeway, but also produced beats which were used by artists on other labels including Ludacris, Alicia Keys, and Janet Jackson.[35][37] Meanwhile, West struggled to attain a record deal as a rapper.[38] Multiple record companies, including Capitol Records,[27] denied or ignored him because he did not portray the gangsta image prominent in mainstream hip hop at the time.[28]: 556  Desperate to keep West from defecting to another label, then-label head Damon Dash reluctantly signed West to Roc-A-Fella as a recording artist.[28]: 556 [39]",kanye.txt,True
"A 2002 car accident, which shattered his jaw,[40][41] inspired West; two weeks after being admitted to the hospital, he recorded ""Through the Wire"" at the Record Plant Studios with his jaw still wired shut.[40] The song was first included on West's debut mixtape Get Well Soon..., which was released in December 2002.[42] At the same time, West announced that he was working on an album titled The College Dropout, whose overall theme was to ""make your own decisions. Don't let society tell you, 'This is what you have to do.'""[43]",kanye.txt,True
2003–2006: The College Dropout and Late Registration,kanye.txt,True
Main articles: The College Dropout and Late Registration,kanye.txt,True
West in Portland in December 2005 as a supporting act for U2 on their Vertigo Tour,kanye.txt,True
"West recorded the remainder of the album in Los Angeles while recovering from the car accident. It was leaked months before its release date,[38] and West used the opportunity to remix, remaster, and revise the album before its release;[44] West added new verses, string arrangements, gospel choirs, and improved drum programming.[38] The album was postponed three times from its initial date in August 2003,[45][46] and was eventually released in February 2004, reaching No. 2 on the Billboard 200 as his debut single, ""Through the Wire"" peaked at No. 15 while on the Billboard Hot 100 chart for five weeks.[47] ""Slow Jamz"", his second single, featuring Twista and Jamie Foxx, became the three musicians' first No. 1 hit. The College Dropout received critical acclaim, was nominated for the top album of the year by American Music Awards and Billboard,[48][49] and has consistently been ranked among the great hip-hop works and debut albums by artists.[50][51]",kanye.txt,True
"""Jesus Walks"", the album's fourth single, reached the top 20 of the Billboard pop charts, despite industry executives' predictions that a song containing such blatant declarations of faith would never make it to the radio.[50][51] The College Dropout was certified triple platinum in the U.S., and garnered West 10 Grammy nominations, including Album of the Year, and Best Rap Album (which it received).[52] During this period, West founded GOOD Music, a record label and management company that housed affiliate artists and producers, such as No I.D. and John Legend,[53] and produced singles for Brandy, Common, Legend, and Slum Village.[54]",kanye.txt,True
"West invested $2 million and took over a year to make his second album.[55] West was inspired by Roseland NYC Live, a 1998 live album by English trip hop group Portishead, produced with the New York Philharmonic Orchestra,[56] incorporating string arrangements into his hip-hop production. Though West had not been able to afford many live instruments around the time of his debut album, the money from his commercial success enabled him to hire a string orchestra for his second album Late Registration.[56] West collaborated with American film score composer Jon Brion, who served as the album's co-executive producer for several tracks.[57][58] Late Registration sold over 2.3 million units in the United States alone by the end of 2005 and was considered by industry observers as the only successful major album release of the fall season, which had been plagued by steadily declining CD sales.[59]",kanye.txt,True
"When his song ""Touch the Sky"" failed to win Best Video at the 2006 MTV Europe Music Awards, West went onto the stage as the award was being presented to Justice and Simian for ""We Are Your Friends"" and argued that he should have won the award instead.[60][61] Hundreds of news outlets worldwide criticized the outburst. On November 7, 2006, West apologized for this outburst publicly during his performance as support act for U2 for their Vertigo concert in Brisbane.[62] He later spoofed the incident on the 33rd-season premiere of Saturday Night Live in September 2007.[63]",kanye.txt,True
"2007–2009: Graduation, 808s & Heartbreak, and VMAs incident",kanye.txt,True
"Main articles: Graduation (album), 808s & Heartbreak, and Kanye West MTV Video Music Awards controversy",kanye.txt,True
"West's third studio album, Graduation, garnered major publicity when its release date pitted West in a sales competition against rapper 50 Cent's Curtis.[64] Upon their September 2007 releases, Graduation outsold Curtis by a large margin, debuting at number one on the U.S. Billboard 200 chart and selling 957,000 copies in its first week.[65] Graduation continued the string of critical and commercial successes by West, and the album's lead single, ""Stronger"", garnered his third number-one hit.[66] ""Stronger"", which samples French house duo Daft Punk, has been accredited to not only encouraging other hip-hop artists to incorporate house and electronica elements into their music, but also for playing a part in the revival of disco and electro-infused music in the late 2000s.[67] His mother's death in November 2007[68] and the end of his engagement to Alexis Phifer[69] profoundly affected West, who set off for his 2008 Glow in the Dark Tour shortly thereafter.[70]",kanye.txt,True
West performing in 2008,kanye.txt,True
"Recorded mostly in Honolulu, Hawaii in three weeks,[71] West announced his fourth album, 808s & Heartbreak, at the 2008 MTV Video Music Awards, where he performed its lead single, ""Love Lockdown"". Music audiences were taken aback by the uncharacteristic production style and the presence of Auto-Tune, which typified the pre-release response to the record.[72] 808s & Heartbreak was released by Island Def Jam in November 2008.[73][74] Upon its release, the lead single ""Love Lockdown"" debuted at number three on the Billboard Hot 100,[75] while follow-up single ""Heartless"" debuted at number four.[76] While it was criticized prior to release, 808s & Heartbreak is considered to have had a significant effect on hip-hop music, encouraging other rappers to take more creative risks with their productions.[77]",kanye.txt,True
"While Taylor Swift was accepting her award for Best Female Video at the 2009 MTV Video Music Awards, West went on stage and grabbed the microphone from her to proclaim that Beyoncé deserved the award instead. He was subsequently removed from the remainder of the show for his actions.[78][79][80] West was criticized by various celebrities for the outburst,[78][81][82][83] and by President Barack Obama, who called West a ""jackass"".[84][85][86][87] The incident sparked a large influx of Internet photo memes.[88] West subsequently apologized,[82][89] including personally to Swift.[90][91] However, in a November 2010 interview, he seemed to recant his past apologies, describing the act at the 2009 awards show as ""selfless"".[92][93]",kanye.txt,True
"2010–2012: My Beautiful Dark Twisted Fantasy, Watch the Throne, and Cruel Summer",kanye.txt,True
"Main articles: My Beautiful Dark Twisted Fantasy, Watch the Throne, and Cruel Summer (GOOD Music album)",kanye.txt,True
"Following the highly publicized incident, West took a brief break from music and threw himself into fashion, only to hole up in Hawaii for the next few months writing and recording his next album.[94] Importing his favorite producers and artists to work on and inspire his recording, West kept engineers behind the boards 24 hours a day and slept only in increments. Noah Callahan-Bever, a writer for Complex, was present during the sessions and described the ""communal"" atmosphere as thus: ""With the right songs and the right album, he can overcome any and all controversy, and we are here to contribute, challenge, and inspire.""[94] A variety of artists contributed to the project, including close friends Jay-Z, Kid Cudi and Pusha T, as well as collaborations with artists including Justin Vernon of Bon Iver and Gil Scott Heron.[95]",kanye.txt,True
West at the SWU Music & Arts Festival in Brazil in 2011,kanye.txt,True
"My Beautiful Dark Twisted Fantasy, West's fifth studio album, was released in November 2010 to widespread acclaim from critics, many of whom considered it his best work and said it solidified his comeback.[96] In stark contrast to his previous effort, which featured a minimalist sound, Dark Fantasy adopts a maximalist philosophy and deals with themes of celebrity and excess.[53] The record included the international hit ""All of the Lights"", and Billboard hits ""Power"", ""Monster"", and ""Runaway"",[97] the latter of which accompanied a 35-minute film of the same name directed by and starring West.[98] During this time, West initiated the free music program GOOD Fridays through his website, offering a free download of previously unreleased songs each Friday, a portion of which were included on the album. This promotion ran from August to December 2010.[99] Dark Fantasy went on to go platinum in the United States,[100] but its omission as a contender for Album of the Year at the 54th Grammy Awards was viewed as a ""snub"" by several media outlets.[101]",kanye.txt,True
"2011 saw West embark on a festival tour to commemorate the release of My Beautiful Dark Twisted Fantasy performing and headlining numerous festivals including; SWU Music & Arts, Austin City Limits Music Festival, Oya Festival, Flow Festival, Live Music Festival, The Big Chill, Essence Music Festival, Lollapalooza and Coachella which was described by The Hollywood Reporter as ""one of greatest hip-hop sets of all time"",[102] West released the collaborative album Watch the Throne with Jay-Z in August 2011. By employing a sales strategy that released the album digitally weeks before its physical counterpart, Watch the Throne became one of the few major label albums in the Internet age to avoid a leak.[103][104] ""Niggas in Paris"" became the record's highest-charting single, peaking at number five on the Billboard Hot 100.[97] The co-headlining Watch the Throne Tour kicked off in October 2011 and concluded in June 2012.[105] In 2012, West released the compilation album Cruel Summer, a collection of tracks by artists from West's record label GOOD Music.",kanye.txt,True
2013–2015: Yeezus and the Yeezus Tour,kanye.txt,True
Main articles: Yeezus and The Yeezus Tour,kanye.txt,True
"Sessions for West's sixth solo effort begin to take shape in early 2013 in his own personal loft's living room at a Paris hotel.[106] Determined to ""undermine the commercial"",[107] he once again brought together close collaborators and attempted to incorporate Chicago drill, dancehall, acid house, and industrial music.[108] Primarily inspired by architecture,[106] West's perfectionist tendencies led him to contact producer Rick Rubin fifteen days shy of its due date to strip down the record's sound in favor of a more minimalist approach.[109] Initial promotion of his sixth album included worldwide video projections of the album's music and live television performances.[110][111] Yeezus, West's sixth album, was released June 18, 2013, to rave reviews from critics.[112] It became his sixth consecutive number one debut, but also marked his lowest solo opening week sales.[113]",kanye.txt,True
West on the Yeezus Tour in 2013,kanye.txt,True
"In September 2013, West announced he would be headlining his first solo tour in five years, to support Yeezus, with fellow American rapper Kendrick Lamar accompanying him as a supporting act.[114][115] The tour was met with rave reviews from critics.[116] Rolling Stone described it as ""crazily entertaining, hugely ambitious, emotionally affecting (really!) and, most importantly, totally bonkers"".[116] Writing for Forbes, Zack O'Malley Greenburg praised West for ""taking risks that few pop stars, if any, are willing to take in today's hyper-exposed world of pop"", describing the show as ""overwrought and uncomfortable at times, but [it] excels at challenging norms and provoking thought in a way that just isn't common for mainstream musical acts of late"".[117] West subsequently released a number of singles featuring Paul McCartney, including ""Only One""[118] and ""FourFiveSeconds"", also featuring Rihanna.[119]",kanye.txt,True
"In November 2013, West stated that he was beginning work on his next studio album, hoping to release it by mid-2014,[120] with production by Rick Rubin and Q-Tip.[121] Having initially announced a new album entitled Yeezus II slated for a 2014 release, West announced in March 2015 that the album would instead be tentatively called So Help Me God.[122] In May 2015, West was awarded an honorary doctorate by the School of the Art Institute of Chicago for his contributions to music, fashion, and popular culture.[123][124][d] The next month, West headlined at the Glastonbury Festival in the UK, despite a petition signed by almost 135,000 people against his appearance.[126] Another petition aimed to block West from headlining the 2015 Pan American Games, garnering 50,000 supporters.[127]",kanye.txt,True
2016–2017: The Life of Pablo and tour cancellation,kanye.txt,True
Main article: The Life of Pablo,kanye.txt,True
"West announced in January 2016 that SWISH would be released on February 11, and later that month, released new songs ""Real Friends"" and a snippet of ""No More Parties in LA"" with Kendrick Lamar. On January 26, 2016, West revealed he had renamed the album from SWISH to Waves.[128] In the weeks leading up to the album's release, West became embroiled in several Twitter controversies.[129] Several days ahead of its release, West again changed the title, this time to The Life of Pablo.[130][131] On February 11, West premiered the album at Madison Square Garden as part of the presentation of his Yeezy Season 3 clothing line.[132] Following the preview, West announced that he would be modifying the tracklist once more before its release to the public.[133] He released the album exclusively on Tidal on February 14, 2016, following a performance on SNL.[134][135] Following its release, West continued to tinker with mixes of several tracks, describing the work as ""a living breathing changing creative expression""[136] and proclaiming the end of the album as a dominant release form.[137] Despite West's earlier comments, in addition to Tidal, the album was released through several other competing services starting in April.[138]",kanye.txt,True
West on the Saint Pablo Tour in 2016,kanye.txt,True
"In February 2016, West stated on Twitter that he was planning to release another album in the summer of 2016, tentatively called Turbo Grafx 16 in reference to the 1990s video game console of the same name.[139][140] In June 2016, West released the collaborative lead single ""Champions"" off the GOOD Music album Cruel Winter, which has yet to be released.[141][142] Later that month, West released a controversial video for ""Famous"", which depicted wax figures of several celebrities (including West, Kardashian, Taylor Swift, businessman and then-presidential candidate Donald Trump, comedian Bill Cosby, and former president George W. Bush) sleeping nude in a shared bed.[143]",kanye.txt,True
"In August 2016, West embarked on the Saint Pablo Tour in support of The Life of Pablo.[144] The performances featured a mobile stage suspended from the ceiling.[144] West postponed several dates in October following the Paris robbery of several of his wife's effects.[145] On November 21, 2016, West cancelled the remaining 21 dates on the Saint Pablo Tour, following a week of no-shows, curtailed concerts and rants about politics.[146] He was later admitted for psychiatric observation at UCLA Medical Center.[147][148] He stayed hospitalized over the Thanksgiving weekend because of a temporary psychosis stemming from sleep deprivation and extreme dehydration.[149] Following this episode West took an 11-month break from posting on Twitter and the public in general.[150]",kanye.txt,True
2017–2019: Ye and the Wyoming Sessions,kanye.txt,True
Main articles: Ye (album) and Kids See Ghosts (album),kanye.txt,True
"See also: Daytona (album), Nasir (album), and K.T.S.E.",kanye.txt,True
"It was reported in May 2017 that West was recording new music in Jackson Hole, Wyoming, with a wide range of collaborators.[151][152] In April 2018, West announced plans to write a philosophy book entitled Break the Simulation,[153] later clarifying that he was sharing the book ""in real time"" on Twitter and began posting content that was likened to ""life coaching"".[154] Later that month, he also announced two new albums, a solo album and self-titled collaboration with Kid Cudi under the name Kids See Ghosts, both of which would be released in June.[155] Additionally, he revealed he would produce upcoming albums by GOOD Music label-mates Pusha T and Teyana Taylor, as well as Nas.[156] Shortly thereafter, West released the non-album singles ""Lift Yourself"" and ""Ye vs. the People"", in which he and T.I. discussed West's support of Donald Trump.[157]",kanye.txt,True
"Pusha T's Daytona, ""the first project out of Wyoming"", was released in May to critical acclaim, although the album's artwork—a photograph of deceased singer Whitney Houston's bathroom that West paid $85,000 to license—attracted some controversy.[158][159] The following week, West released his eighth studio album, Ye. West has suggested that he scrapped the original recordings of the album and re-recorded it within a month.[160] The week after, West released a collaborative album with Kid Cudi, titled Kids See Ghosts, named after their group of the same name. West also completed production work on Nas' Nasir[161] and Teyana Taylor's K.T.S.E., which were released in June 2018.[162]",kanye.txt,True
"In September, West announced his ninth studio album Yandhi to be released by the end of the month and a collaborative album with fellow Chicagoan rapper Chance the Rapper titled Good Ass Job. That same month, West announced that he would be changing his stage name to ""Ye"".[163] Yandhi was originally set for release in September 2018 but was postponed multiple times.[164] In January 2019, West pulled out of headlining that year's Coachella festival after negotiations broke down due to discord regarding stage design.[165] In July, it was reported that songs from West's unreleased album Yandhi were leaked online.[166] The following month, Kim Kardashian announced that West's next album would be titled Jesus Is King, effectively scrapping Yandhi.[167][168] By October, the entire unfinished album was available for a short time on streaming services Spotify and Tidal.[169]",kanye.txt,True
"2019–2022: Jesus Is King, Donda, and Donda 2",kanye.txt,True
"Main articles: Jesus Is King, Donda, and Donda 2",kanye.txt,True
"On January 6, 2019, West started his weekly ""Sunday Service"" events, which included soul variations of both West's and others' songs and were attended by multiple celebrities, including the Kardashians, Charlie Wilson, and Kid Cudi.[170] West previewed a new song, ""Water"" at his ""Sunday Service"" orchestration performance at Coachella 2019,[171] which was later revealed to feature on his upcoming album Jesus Is King;[172] West released the album on October 25, 2019.[173] It became the first to ever top the Billboard 200, Top R&B/Hip-Hop Albums, Top Rap Albums, Top Christian Albums and Top Gospel Albums at the same time.[174] On December 25, 2019, West and Sunday Service released Jesus Is Born, containing 19 songs, including several re-workings of older West songs.[175]",kanye.txt,True
"West released a single titled ""Wash Us in the Blood"" on June 30, 2020, featuring fellow American rapper and singer Travis Scott, along with the music video, which was set to serve as the lead single from his tenth studio album Donda.[176] However, in September 2020, West stated that he would not be releasing any further music until he is ""done with [his] contract with Sony and Universal"".[177] On October 16, he released the single ""Nah Nah Nah"".[178] West held several listening parties at Mercedes-Benz Stadium for his upcoming album Donda in the summer of 2021, where he had taken up temporary residence in one of the stadium's locker rooms, converting it into a recording studio to finish the recording.[179][180] After multiple delays, Donda was released on August 29, 2021.[181] West claimed the album was released early without his approval and alleged that Universal had altered the tracklist.[182] He released a deluxe edition of Donda, including five new songs, to streaming services on November 14, 2021.[183] On November 20, days after ending their long-running feud,[184] West and rapper Drake confirmed that they would stage the ""Free Larry Hoover"" benefit concert on December 9 at the Los Angeles Memorial Coliseum.[185]",kanye.txt,True
"On January 5, 2022, West was announced as one of the 2022 headliners of Coachella Valley Music and Arts Festival.[186] Later that month on January 15, West released the first single for his upcoming album Donda 2, ""Eazy"" featuring The Game,[187] to be executive produced by American rapper Future.[188] West hosted a listening event for the album at LoanDepot Park in Miami, Florida, on February 22.[189] In April, shortly before Coachella, West pulled out as headlining act,[190] then proceeded to pull out of headlining Rolling Loud.[191] West and The Game performed the single on July 22, marking West's first performance in five months following the low profile he had been keeping since Donda 2 remained unfinished.[192] A day later, despite cancelling as headliner, he appeared at Rolling Loud during Lil Durk's set.[193]",kanye.txt,True
"In December 2022, after weeks of controversial antisemitic statements, West released a new song ""Someday We'll All Be Free"" on his Instagram.[194]",kanye.txt,True
2023–present: Vultures trilogy and Y3,kanye.txt,True
Main article: Vultures 1,kanye.txt,True
"¥$ listening party in Bologna, Italy, for Vultures 1 (2024)",kanye.txt,True
"On August 25, 2023, West was reported to be in the process of recording his eleventh studio album, with two sources close to him stating that the release of new music was ""imminent"".[195] On October 13, Billboard reported that West had finished recording a collaborative studio album with Ty Dolla Sign and was in the process of shopping the album to distributors, adding that the album was originally intended for an official release that day but was ultimately pushed back for unknown reasons and expected to drop within the coming weeks.[196] On October 23, Ty Dolla Sign announced that he and West would be holding a ""multi-stadium listening event"" on November 3 to promote their collaborative project.[197] On November 22, 2023, West and Ty Dolla Sign released the eponymous lead single for the album, ""Vultures"" featuring Bump J.[198] Two additional versions of the song were later released: A version of the song featuring Lil Durk alongside Bump J on November 23, 2023, and a version of the song produced by Mobb Deep rapper Havoc on February 8, 2024.[199][200]",kanye.txt,True
"West and Ty Dolla $ign held several listening parties prior to the release of Vultures, including ""Vultures Rave"" performances in Miami and Las Vegas in December 2023 and listening parties at United Center in Chicago and UBS Arena in the New York City area on February 7 and 8, 2024. On January 23, 2024, West released a trailer for Vultures directed by Jon Rafman. Through the trailer, West announced that Vultures would instead be released as a trilogy of albums, with each of the album's three volumes set to be released on February 9, March 6, and April 5, 2024. In January 2024, Kanye West co-signed 4Batz and called him his favorite new artist.[201][202] On February 8, 2024, West released the first volume's second single, ""Talking / Once Again"" featuring his eldest daughter North, as well as a compilation pack entitled Vultures Pack composed of the eponymous song's three released versions.[203][204] On February 9, 2024, during an interview of Erick Sermon on the Bootleg Kev podcast, Sermon revealed that West's upcoming eleventh studio album was titled Y3, while also stating that he had originally contributed to Y3 in May – June 2023 and later contributed to Vultures after traveling to Florence and discovering West had switched his focus entirely towards the latter project.[205]",kanye.txt,True
"On February 10, 2024, hours after West held a listening party at UBS Arena, the first volume of the Vultures trilogy, entitled Vultures 1, was officially released.[206][207] The album debuted at number one on the Billboard 200, becoming West's eleventh consecutive and Ty Dolla Sign's first number one album, respectively.[208]",kanye.txt,True
Musical style,kanye.txt,True
West performing in 2012,kanye.txt,True
"West's musical career is defined by frequent stylistic shifts and different musical approaches.[2] In the subsequent years since his debut, West has both musically and lyrically taken an increasingly experimental approach to crafting progressive hip hop music while maintaining accessible pop sensibilities.[209][210][211] Ed Ledsham of PopMatters said that ""West's melding of multiple genres into the hip-hop fold is a complex act that challenges the dominant white notions of what constitutes true 'art' music.""[212] West's rhymes have been described as funny, provocative and articulate, capable of seamlessly segueing from shrewd commentary to comical braggadocio to introspective sensitivity.[213] West imparts that he strives to speak in an inclusive manner so groups from different racial and gender backgrounds can comprehend his lyrics, saying he desired to sound ""just as ill as Jadakiss and just as understandable as Will Smith"".[214] Early in his career, West pioneered a style of hip-hop production dubbed ""chipmunk-soul"",[215][216] a sampling technique involving the manipulation of tempo in order to chop and stretch pitched-up samples from vintage soul songs.[217][218]",kanye.txt,True
"On his debut studio album, The College Dropout (2004), West formed the constitutive elements of his style, described as intricate hip-hop beats, topical subject matter, and clumsy rapping laced with inventive wordplay.[209][219] The record saw West diverge from the then-dominant gangster persona in hip hop in favor of more diverse, topical lyrical subjects,[220] including higher education, materialism, self-consciousness, minimum-wage labor, institutional prejudice, class struggle, family, sexuality, his struggles in the music industry, and middle-class upbringing.[221][222][210] Over time, West has explored a variety of music genres, encompassing and taking inspiration from chamber pop on his second studio album, Late Registration (2005),[57] arena rock and europop on his third album, Graduation (2007),[223][224] synth-driven electropop on his fourth album, 808s & Heartbreak (2008),[225][226] acid-house, drill, industrial rap and trap on Yeezus (2013),[108][227] gospel and Christian rap on The Life of Pablo (2016), Jesus is King (2019) and Donda (2021),[228][229][230][231] and psychedelic music on Kids See Ghosts (2018).[232]",kanye.txt,True
Other ventures,kanye.txt,True
Fashion,kanye.txt,True
"Early in his career, West made clear his interest in fashion and desire to work in the clothing design industry.[2][106] He launched his own clothing line in spring 2006,[233] and developed it over the following four years before the line was ultimately cancelled in 2009.[234][235] In January 2007, West's first sneaker collaboration was released, a special-edition Bapesta from A Bathing Ape.[236][237] In 2009, West collaborated with Nike to release his own shoe, the Air Yeezys, becoming the first non-athlete to be given a shoe deal with the company.[238] In January 2009, he introduced his first shoe line designed for Louis Vuitton during Paris Fashion Week. The line was released in summer 2009.[239] West has additionally designed shoewear for Italian shoemaker Giuseppe Zanotti.[240]",kanye.txt,True
"In fall 2009, West moved to Rome, where he interned at Italian fashion brand Fendi, giving ideas for the men's collection.[241] In March 2011, West collaborated with M/M Paris for a series of silk scarves featuring artwork from My Beautiful Dark Twisted Fantasy.[242] In October 2011, West premiered his women's fashion label at Paris Fashion Week.[243] His debut fashion show received mixed-to-negative reviews.[244] In March 2012, West premiered a second fashion line at Paris Fashion Week.[245][246] Critics deemed the sophomore effort ""much improved"" compared to his first show.[247]",kanye.txt,True
"On December 3, 2013, Adidas officially confirmed a new shoe collaboration deal with West.[248] After months of anticipation and rumors, West confirmed the release of the Adidas Yeezy Boosts. In 2015, West unveiled a Yeezy clothing line, premiering in collaboration with Adidas early that year.[249] In June 2016, Adidas announced a new long-term contract with Kanye West that extended the Yeezy line to a number of stores, planning to sell sports performance products like basketball, football, and soccer,[250] although Adidas terminated the partnership with West in October 2022 due to his antisemitic remarks.[251] In May 2021, West signed a 10-year deal linking Yeezy with GAP to create Yeezy Gap, however, in September 2022, West announced that he was ending the deal.[252]",kanye.txt,True
Business ventures,kanye.txt,True
"West founded the record label and production company GOOD Music in 2004, in conjunction with Sony BMG, shortly after releasing his debut album, The College Dropout. West, alongside then-unknown Ohio singer John Legend and fellow Chicago rapper Common were the label's inaugural artists.[253] The label houses artists including West, Big Sean, Pusha T, Teyana Taylor, Yasiin Bey / Mos Def, D'banj and John Legend, and producers including Hudson Mohawke, Q-Tip, Travis Scott, No I.D., Jeff Bhasker, and S1. GOOD Music has released ten albums certified gold or higher by the Recording Industry Association of America (RIAA). In November 2015, West appointed Pusha T the new president of GOOD Music.[254]",kanye.txt,True
"In August 2008, West revealed plans to open 10 Fatburger restaurants in the Chicago area; the first was set to open in September 2008 in Orland Park. The second followed in January 2009, while a third location is yet to be revealed, although the process is being finalized. His company, KW Foods LLC, bought the rights to the chain in Chicago.[255] Ultimately, in 2009, only two locations actually opened. In February 2011, West shut down the Fatburger located in Orland Park.[256]",kanye.txt,True
"In January 2012, West announced his establishment of the creative content company Donda, named after his late mother.[257] In his announcement, West proclaimed that the company would ""pick up where Steve Jobs left off""; Donda would operate as a ""design company"" with a goal to ""make products and experiences that people want and can afford"".[258] In stating Donda's creative philosophy, West articulated the need to ""put creatives in a room together with like minds"" in order to ""simplify and aesthetically improve everything we see, taste, touch, and feel.""[258] West is notoriously secretive about the company's operations, maintaining neither an official website nor a social media presence.[259][260] Contemporary critics have noted the consistent minimalistic aesthetic exhibited throughout Donda creative projects.[261][262][263]",kanye.txt,True
